Label,Feature,Reference,Start,Stop,K,dK,Peak,Back,PtoB
III-E K412[0][all],Al K-L3 + 1 other,Al2O3 std,134,164,0.06781446745052201,3.646349348982543e-5,622267.0,185222.64216401923,100.77235476444285
III-E K412[1][all],Al K-L3 + 1 other,Al2O3 std,134,164,0.06753640568414991,3.645902691094511e-5,622937.0,187778.41604017257,99.50780982284199
III-E K412[2][all],Al K-L3 + 1 other,Al2O3 std,134,164,0.06790080639022802,3.655369879773221e-5,624120.0,187301.0518580982,99.95087382522125
III-E K412[3][all],Al K-L3 + 1 other,Al2O3 std,134,164,0.06797456531860833,3.659099715599481e-5,622614.0,186058.23035590735,100.37572792020829
III-E K412[4][all],Al K-L3 + 1 other,Al2O3 std,134,164,0.0680882654534813,3.6636411648680644e-5,623970.0,186760.56771366106,100.21603959940703
III-E K412[0][all],Si K-L3 + 2 others,SiO2 std,159,195,0.3520832696280315,6.835701936140312e-5,2.25095e6,250536.99662536336,323.3954751854706
III-E K412[1][all],Si K-L3 + 2 others,SiO2 std,159,195,0.35123781767088336,6.832020613389302e-5,2.247281e6,252101.38321003388,320.86482456109155
III-E K412[2][all],Si K-L3 + 2 others,SiO2 std,159,195,0.35243887371229743,6.85024840077521e-5,2.253439e6,254583.22450903384,318.60749006007575
III-E K412[3][all],Si K-L3 + 2 others,SiO2 std,159,195,0.35319513763746285,6.860556645346904e-5,2.252092e6,252326.24365727184,321.26518423180215
III-E K412[4][all],Si K-L3 + 2 others,SiO2 std,159,195,0.3531639385060458,6.860210561148567e-5,2.250862e6,251622.97098188056,321.98715091567004
III-E K412[0][all],Ecs[Ca K-L3],CaF2 std,180,212,-0.034612540319030015,0.053047684821811235,409595.0,410822.1134101699,31.899822717565517
III-E K412[1][all],Ecs[Ca K-L3],CaF2 std,180,212,-0.04986141709959203,0.05308037965151421,409994.0,411761.34889941744,31.858062401219644
III-E K412[2][all],Ecs[Ca K-L3],CaF2 std,180,212,-0.050758193538395606,0.0531027762452289,410787.0,412583.30781475664,31.856090259970347
III-E K412[3][all],Ecs[Ca K-L3],CaF2 std,180,212,-0.02618215454540788,0.05316998299341466,409960.0,410885.0106660841,31.923361923221222
III-E K412[4][all],Ecs[Ca K-L3],CaF2 std,180,212,-0.04191992833546461,0.05310461145119385,408394.0,409874.7640047704,31.87980151004353
III-E K412[0][all],Ca K-L3 + 3 others,CaF2 std,350,420,0.1925287309662325,4.901050533001932e-5,1.161384e6,206450.58211702004,393.72702375431464
III-E K412[1][all],Ca K-L3 + 3 others,CaF2 std,350,420,0.19194124210379776,4.897572115459864e-5,1.159171e6,207356.5509647848,391.25981397182056
III-E K412[2][all],Ca K-L3 + 3 others,CaF2 std,350,420,0.1925583984601951,4.907335782131342e-5,1.159889e6,206514.82612826326,393.09787021518747
III-E K412[3][all],Ca K-L3 + 3 others,CaF2 std,350,420,0.19288035275370685,4.915198479461679e-5,1.159836e6,206478.76652337878,393.14855575683947
III-E K412[4][all],Ca K-L3 + 3 others,CaF2 std,350,420,0.19250629787239829,4.915499693804399e-5,1.15956e6,208218.20843685174,389.7714433548852
III-E K412[0][all],Ecs[Fe K-L3],Fe std,445,489,0.08899488756455605,0.004922193632514138,98899.0,97676.36950726945,44.54433961749762
III-E K412[1][all],Ecs[Fe K-L3],Fe std,445,489,0.08192450549708058,0.004952217168868398,100006.0,98880.74632022441,44.49430779715027
III-E K412[2][all],Ecs[Fe K-L3],Fe std,445,489,0.042656808470409924,0.004937635129993439,99432.0,98847.01881537448,44.25402051849859
III-E K412[3][all],Ecs[Fe K-L3],Fe std,445,489,0.10627857717474035,0.004965991775001235,99611.0,98155.98983702734,44.64580176900099
III-E K412[4][all],Ecs[Fe K-L3],Fe std,445,489,0.0915845081631696,0.004945901249929321,99175.0,97921.37896277462,44.5568850583553
III-E K412[0][all],Fe K-L3 + 1 other,Fe std,616,666,0.06695008660402912,2.9764289987347562e-5,342811.0,70979.10473082517,241.4524926144522
III-E K412[1][all],Fe K-L3 + 1 other,Fe std,616,666,0.06716930592056196,2.9801905741145003e-5,343735.0,71071.7672218614,241.78764338807912
III-E K412[2][all],Fe K-L3 + 1 other,Fe std,616,666,0.06696982278282985,2.9818776545094413e-5,343180.0,71753.78280894272,239.10278221403775
III-E K412[3][all],Fe K-L3 + 1 other,Fe std,616,666,0.06692941870418564,2.986411190631409e-5,342882.0,72077.14009424747,237.82341012956036
III-E K412[4][all],Fe K-L3 + 1 other,Fe std,616,666,0.0670294581708093,2.9839209437946305e-5,342530.0,71367.850106519,239.94044599132212
III-E K412[0][all],Fe K-M3 + 1 other,Fe std,683,729,0.0672652953034314,0.00011908546448554572,93319.0,56034.51330652237,76.59664734599215
III-E K412[1][all],Fe K-M3 + 1 other,Fe std,683,729,0.06785004315850672,0.00011894305314752687,93393.0,55792.49373759749,76.98991525581104
III-E K412[2][all],Fe K-M3 + 1 other,Fe std,683,729,0.06742274384368316,0.00011928813808638221,93568.0,56263.01134225659,76.48911963472936
III-E K412[3][all],Fe K-M3 + 1 other,Fe std,683,729,0.06819770013122525,0.00011946349007708787,93454.0,55783.88247505106,77.05209408159008
III-E K412[4][all],Fe K-M3 + 1 other,Fe std,683,729,0.06699257159749604,0.00011928119011201364,93213.0,56215.03356461014,76.26395085507819
